Nome,V,D,E
Botafogo - RJ,18,5,5
Red Bull Bragantino - SP,14,5,10
Palmeiras - SP,14,7,8
Flamengo - RJ,14,7,8
Athletico Paranaense - PR,13,7,9
Grêmio - RS,14,10,5
Atlético Mineiro - MG,13,9,7
Fluminense - RJ,13,10,6
Fortaleza - CE,12,10,6
São Paulo - SP,10,11,8
Cuiabá Saf - MT,10,12,7
Cruzeiro Saf - MG,9,10,10
Corinthians - SP,8,9,12
Internacional - RS,9,11,8
Bahia - BA,9,13,7
Goiás - GO,7,12,10
Vasco da Gama S.a.f. - RJ,8,14,6
Santos - SP,8,14,6
Coritiba S.a.f. - PR,5,18,5
America Saf - MG,4,18,7
